,Index,Mean_Diameter,SEM_Diameter
122,122,0.125287130777897,0.01588779552209215
123,123,0.1156520954882755,0.015794052168537995
124,124,0.11306569884915137,0.0162190429421669
125,125,0.12034782396745067,0.01681623882230572
126,126,0.12521052901025195,0.016602299489047057
127,127,0.12272859766560554,0.01667007764064831
128,128,0.12372944381914451,0.016829603074634863
129,129,0.1267451356613936,0.01687966763018965
130,130,0.13030013388344244,0.016899601868040143
131,131,0.1287291837159106,0.017041430466225985
132,132,0.1369580759026857,0.01694261154032428
133,133,0.13885196781975384,0.01696973475193884
134,134,0.1399011366972587,0.016684901715326984
135,135,0.13954870679122436,0.01654640640611747
136,136,0.14696201967853725,0.01662374086354711
137,137,0.14425447602367913,0.017070882031559025
138,138,0.1457991064060106,0.016482274970656907
139,139,0.1522181546014209,0.016284480760978395
