,Index,Mean_Diameter,SEM_Diameter
124,124,0.12789171105101188,0.4573480069509383
125,125,0.18959163886476743,0.476578321984006
126,126,0.1388536645667503,0.4240164747716186
127,127,0.05670498573999231,0.45662087479492297
128,128,0.058534605549959595,0.4066908147845563
129,129,0.06401613187592546,0.44426371091011857
130,130,0.0747164059832337,0.4301224046313492
131,131,0.15579453591814826,0.43021547637741064
132,132,0.0649861697056008,0.5414656957759233
133,133,0.031214826464494375,0.5354428623897999
134,134,0.2128840742450609,0.4821100120039951
135,135,-0.01815765675294514,0.5101255529891218
136,136,0.05370511073011605,0.49256140458602543
137,137,-0.12603150302176402,0.5259024210512867
138,138,-0.056038979875743564,0.46666699206475476
139,139,-0.06427145718723902,0.44097396731535116
140,140,-0.00020449070978730463,0.46771752955811813
141,141,-0.11583533463092469,0.4506725175141347
